decision_ts,residual
2021-07-06T00:00:00Z,0.0
2021-07-19T00:00:00Z,0.0
2021-07-26T00:00:00Z,0.0
2021-08-02T00:00:00Z,-2.0
2021-08-09T00:00:00Z,0.0
2021-08-16T00:00:00Z,-2.0
2021-08-23T00:00:00Z,0.0
2021-08-30T00:00:00Z,0.0
2021-09-07T00:00:00Z,0.0
2021-09-20T00:00:00Z,0.0
2021-09-27T00:00:00Z,-2.0
2021-10-04T00:00:00Z,0.0
2021-10-11T00:00:00Z,0.0
2021-10-18T00:00:00Z,0.0
2021-10-25T00:00:00Z,-2.0
2021-11-01T00:00:00Z,-2.0
2021-11-08T00:00:00Z,-2.0
2021-11-15T00:00:00Z,-2.0
2021-11-22T00:00:00Z,-2.0
2021-11-29T00:00:00Z,-2.0
2021-12-06T00:00:00Z,0.0
2021-12-13T00:00:00Z,0.0
2021-12-20T00:00:00Z,0.0
2021-12-27T00:00:00Z,0.0
2022-01-03T00:00:00Z,0.0
2022-01-10T00:00:00Z,0.0
2022-01-18T00:00:00Z,-2.0
2022-01-31T00:00:00Z,0.0
2022-02-07T00:00:00Z,-2.0
2022-02-14T00:00:00Z,-2.0
2022-02-22T00:00:00Z,-2.0
2022-03-07T00:00:00Z,-2.0
2022-03-14T00:00:00Z,0.0
2022-03-21T00:00:00Z,0.0
2022-03-28T00:00:00Z,-2.0
2022-04-04T00:00:00Z,0.0
2022-04-11T00:00:00Z,0.0
2022-04-18T00:00:00Z,-2.0
2022-04-25T00:00:00Z,0.0
2022-05-02T00:00:00Z,0.0
2022-05-09T00:00:00Z,0.0
2022-05-16T00:00:00Z,-2.0
2022-05-23T00:00:00Z,0.0
2022-05-31T00:00:00Z,0.0
2022-06-13T00:00:00Z,-2.0
2022-06-21T00:00:00Z,-2.0
2022-07-05T00:00:00Z,0.0
2022-07-18T00:00:00Z,-2.0
2022-07-25T00:00:00Z,-2.0
2022-08-01T00:00:00Z,-2.0
2022-08-08T00:00:00Z,0.0
2022-08-15T00:00:00Z,0.0
2022-08-22T00:00:00Z,-2.0
2022-08-29T00:00:00Z,-2.0
2022-09-06T00:00:00Z,-2.0
2022-09-19T00:00:00Z,-2.0
2022-09-26T00:00:00Z,0.0
2022-10-03T00:00:00Z,0.0
2022-10-10T00:00:00Z,-2.0
2022-10-17T00:00:00Z,0.0
2022-10-24T00:00:00Z,0.0
2022-10-31T00:00:00Z,0.0
2022-11-07T00:00:00Z,-2.0
2022-11-14T00:00:00Z,-2.0
2022-11-21T00:00:00Z,-2.0
2022-11-28T00:00:00Z,0.0
2022-12-05T00:00:00Z,-2.0
2022-12-12T00:00:00Z,0.0
2022-12-19T00:00:00Z,0.0
2022-12-27T00:00:00Z,0.0
2023-01-03T00:00:00Z,-2.0
2023-01-17T00:00:00Z,0.0
2023-01-30T00:00:00Z,-2.0
2023-02-06T00:00:00Z,0.0
2023-02-13T00:00:00Z,-2.0
2023-02-21T00:00:00Z,-2.0
2023-03-06T00:00:00Z,-2.0
2023-03-13T00:00:00Z,-2.0
2023-03-20T00:00:00Z,0.0
2023-03-27T00:00:00Z,0.0
2023-04-03T00:00:00Z,0.0
2023-04-10T00:00:00Z,0.0
2023-04-17T00:00:00Z,-2.0
2023-04-24T00:00:00Z,-2.0
2023-05-01T00:00:00Z,-2.0
2023-05-08T00:00:00Z,-2.0
2023-05-15T00:00:00Z,0.0
2023-05-22T00:00:00Z,-2.0
2023-05-30T00:00:00Z,2.0
2023-06-12T00:00:00Z,0.0
2023-06-20T00:00:00Z,-2.0
2023-07-03T00:00:00Z,0.0
2023-07-10T00:00:00Z,2.0
2023-07-17T00:00:00Z,0.0
2023-07-24T00:00:00Z,0.0
2023-07-31T00:00:00Z,-2.0
2023-08-07T00:00:00Z,0.0
2023-08-14T00:00:00Z,-2.0
2023-08-21T00:00:00Z,-2.0
2023-08-28T00:00:00Z,2.0
2023-09-05T00:00:00Z,0.0
2023-09-18T00:00:00Z,-2.0
2023-09-25T00:00:00Z,0.0
2023-10-02T00:00:00Z,0.0
2023-10-10T00:00:00Z,0.0
2023-10-23T00:00:00Z,-2.0
2023-10-30T00:00:00Z,2.0
2023-11-06T00:00:00Z,0.0
2023-11-13T00:00:00Z,0.0
2023-11-20T00:00:00Z,-2.0
2023-11-27T00:00:00Z,0.0
2023-12-04T00:00:00Z,0.0
2023-12-11T00:00:00Z,0.0
2023-12-18T00:00:00Z,0.0
2023-12-26T00:00:00Z,-2.0
2024-01-02T00:00:00Z,0.0
2024-01-16T00:00:00Z,0.0
2024-01-29T00:00:00Z,0.0
2024-02-05T00:00:00Z,0.0
2024-02-12T00:00:00Z,2.0
2024-02-20T00:00:00Z,-2.0
2024-03-04T00:00:00Z,0.0
2024-03-11T00:00:00Z,0.0
2024-03-18T00:00:00Z,-2.0
2024-03-25T00:00:00Z,0.0
2024-04-01T00:00:00Z,0.0
2024-04-08T00:00:00Z,-2.0
2024-04-15T00:00:00Z,-2.0
2024-04-22T00:00:00Z,0.0
2024-04-29T00:00:00Z,0.0
2024-05-06T00:00:00Z,0.0
2024-05-13T00:00:00Z,0.0
2024-05-20T00:00:00Z,-2.0
2024-05-28T00:00:00Z,-2.0
2024-06-10T00:00:00Z,0.0
2024-06-17T00:00:00Z,0.0
2024-06-24T00:00:00Z,0.0
2024-07-01T00:00:00Z,-2.0
2024-07-08T00:00:00Z,2.0
2024-07-15T00:00:00Z,0.0
2024-07-22T00:00:00Z,-2.0
2024-07-29T00:00:00Z,0.0
2024-08-05T00:00:00Z,0.0
2024-08-12T00:00:00Z,-2.0
2024-08-19T00:00:00Z,-2.0
2024-08-26T00:00:00Z,-2.0
2024-09-03T00:00:00Z,-2.0
2024-09-16T00:00:00Z,0.0
2024-09-23T00:00:00Z,-2.0
2024-09-30T00:00:00Z,0.0
2024-10-07T00:00:00Z,-2.0
2024-10-15T00:00:00Z,-2.0
2024-10-28T00:00:00Z,0.0
2024-11-04T00:00:00Z,0.0
2024-11-12T00:00:00Z,-2.0
2024-11-25T00:00:00Z,-2.0
2024-12-02T00:00:00Z,0.0
2024-12-09T00:00:00Z,2.0
2024-12-16T00:00:00Z,0.0
2024-12-23T00:00:00Z,2.0
2024-12-30T00:00:00Z,0.0
2025-01-06T00:00:00Z,0.0
2025-01-13T00:00:00Z,0.0
2025-01-21T00:00:00Z,-2.0
2025-02-03T00:00:00Z,-2.0
2025-02-10T00:00:00Z,-2.0
2025-02-18T00:00:00Z,-2.0
2025-03-03T00:00:00Z,0.0
2025-03-10T00:00:00Z,0.0
2025-03-17T00:00:00Z,0.0
2025-03-24T00:00:00Z,2.0
2025-03-31T00:00:00Z,-2.0
2025-04-07T00:00:00Z,-2.0
2025-04-14T00:00:00Z,0.0
2025-04-21T00:00:00Z,0.0
2025-04-28T00:00:00Z,-2.0
2025-05-05T00:00:00Z,0.0
2025-05-12T00:00:00Z,-2.0
2025-05-19T00:00:00Z,-2.0
2025-05-27T00:00:00Z,0.0
2025-06-09T00:00:00Z,2.0
2025-06-16T00:00:00Z,0.0
2025-06-23T00:00:00Z,-2.0
2025-06-30T00:00:00Z,2.0
2025-07-07T00:00:00Z,0.0
2025-07-14T00:00:00Z,0.0
2025-07-21T00:00:00Z,-2.0
2025-07-28T00:00:00Z,0.0
2025-08-04T00:00:00Z,-2.0
2025-08-11T00:00:00Z,-2.0
2025-08-18T00:00:00Z,0.0
2025-08-25T00:00:00Z,-2.0
2025-09-02T00:00:00Z,-2.0
2025-09-15T00:00:00Z,0.0
2025-09-22T00:00:00Z,0.0
2025-09-29T00:00:00Z,-2.0
2025-10-06T00:00:00Z,-2.0
2025-10-14T00:00:00Z,-2.0
2025-10-27T00:00:00Z,-2.0
2025-11-03T00:00:00Z,-2.0
2025-11-10T00:00:00Z,0.0
2025-11-17T00:00:00Z,-2.0
2025-11-24T00:00:00Z,-2.0
2025-12-01T00:00:00Z,0.0
2025-12-08T00:00:00Z,-2.0
2025-12-15T00:00:00Z,-2.0
2025-12-22T00:00:00Z,-2.0
2025-12-29T00:00:00Z,-2.0
2026-01-05T00:00:00Z,-2.0
2026-01-12T00:00:00Z,-2.0
2026-01-20T00:00:00Z,2.0
2026-02-02T00:00:00Z,0.0
2026-02-09T00:00:00Z,0.0
2026-02-17T00:00:00Z,2.0
2026-03-02T00:00:00Z,0.0
2026-03-09T00:00:00Z,0.0
2026-03-16T00:00:00Z,2.0
2026-03-23T00:00:00Z,2.0
2026-03-30T00:00:00Z,2.0
2026-04-06T00:00:00Z,-2.0
2026-04-13T00:00:00Z,-2.0
